累计确诊,累计治愈,累计死亡,疑似,时间,地点
17,0,0,1,2020/01/29,宁夏
14,0,0,0,2020/01/29,新疆
8,0,0,0,2020/01/29,台湾
10,0,0,0,2020/01/29,香港
7,0,0,0,2020/01/29,澳门
132,5,1,0,2020/01/30,北京
31,0,0,0,2020/01/30,天津
82,0,1,78,2020/01/30,河北
39,1,0,0,2020/01/30,山西
20,0,0,1,2020/01/30,内蒙古
45,1,0,0,2020/01/30,辽宁
14,1,0,10,2020/01/30,吉林
59,0,2,128,2020/01/30,黑龙江
128,5,1,164,2020/01/30,上海
168,2,0,0,2020/01/30,江苏
537,9,0,0,2020/01/30,浙江
237,3,0,70,2020/01/30,安徽
120,0,0,116,2020/01/30,福建
240,7,0,0,2020/01/30,江西
178,2,0,90,2020/01/30,山东
352,3,2,4,2020/01/30,河南
5806,116,204,0,2020/01/30,湖北
332,2,0,0,2020/01/30,湖南
393,9,0,0,2020/01/30,广东
87,2,0,0,2020/01/30,广西
49,1,1,0,2020/01/30,海南
206,1,0,0,2020/01/30,重庆
177,1,1,0,2020/01/30,四川
15,1,0,61,2020/01/30,贵州
80,0,0,236,2020/01/30,云南
1,0,0,0,2020/01/30,西藏
87,0,0,132,2020/01/30,陕西
29,0,0,0,2020/01/30,甘肃
8,0,0,0,2020/01/30,青海
21,0,0,1,2020/01/30,宁夏
17,0,0,0,2020/01/30,新疆
9,0,0,0,2020/01/30,台湾
12,0,0,0,2020/01/30,香港
7,0,0,0,2020/01/30,澳门
156,5,1,0,2020/01/31,北京
32,0,0,0,2020/01/31,天津
96,0,1,88,2020/01/31,河北
47,1,0,75,2020/01/31,山西
23,1,0,5,2020/01/31,内蒙古
60,1,0,0,2020/01/31,辽宁
17,1,0,10,2020/01/31,吉林
80,0,2,149,2020/01/31,黑龙江
153,9,1,167,2020/01/31,上海
202,5,0,0,2020/01/31,江苏
599,15,0,0,2020/01/31,浙江
297,3,0,0,2020/01/31,安徽
144,0,0,111,2020/01/31,福建
286,9,0,0,2020/01/31,江西
202,2,0,83,2020/01/31,山东
422,3,2,751,2020/01/31,河南
7153,166,249,0,2020/01/31,湖北
389,3,0,0,2020/01/31,湖南
520,0,0,0,2020/01/31,广东
100,2,0,0,2020/01/31,广西
57,1,1,0,2020/01/31,海南
238,1,1,0,2020/01/31,重庆
207,3,1,0,2020/01/31,四川
29,2,0,67,2020/01/31,贵州
91,1,0,228,2020/01/31,云南
1,0,0,0,2020/01/31,西藏
101,0,0,158,2020/01/31,陕西
35,0,0,0,2020/01/31,甘肃
9,0,0,0,2020/01/31,青海
26,0,0,1,2020/01/31,宁夏
18,0,0,0,2020/01/31,新疆
10,0,0,0,2020/01/31,台湾
13,0,0,0,2020/01/31,香港
7,0,0,0,2020/01/31,澳门
183,9,1,0,2020/02/01,北京
41,0,0,0,2020/02/01,天津
104,3,1,104,2020/02/01,河北
56,1,0,64,2020/02/01,山西
27,1,0,7,2020/02/01,内蒙古
64,1,0,0,2020/02/01,辽宁
23,1,0,14,2020/02/01,吉林
95,0,2,172,2020/02/01,黑龙江
177,10,1,168,2020/02/01,上海
236,6,0,0,2020/02/01,江苏
661,23,0,0,2020/02/01,浙江
340,5,0,0,2020/02/01,安徽
159,0,0,99,2020/02/01,福建
333,10,0,0,2020/02/01,江西
225,5,0,81,2020/02/01,山东
493,4,2,754,2020/02/01,河南
9074,215,294,0,2020/02/01,湖北
463,8,0,0,2020/02/01,湖南
604,12,0,0,2020/02/01,广东
111,2,0,0,2020/02/01,广西
63,1,1,0,2020/02/01,海南
262,3,1,0,2020/02/01,重庆
231,3,1,0,2020/02/01,四川
38,2,0,65,2020/02/01,贵州
99,2,0,261,2020/02/01,云南
1,0,0,0,2020/02/01,西藏
116,0,0,201,2020/02/01,陕西
40,0,0,0,2020/02/01,甘肃
9,0,0,0,2020/02/01,青海
28,0,0,8,2020/02/01,宁夏
21,0,0,0,2020/02/01,新疆
10,0,0,0,2020/02/01,台湾
14,0,0,0,2020/02/01,香港
7,0,0,0,2020/02/01,澳门
212,12,1,0,2020/02/02,北京
48,1,0,0,2020/02/02,天津
113,3,1,108,2020/02/02,河北
66,2,0,64,2020/02/02,山西
34,1,0,3,2020/02/02,内蒙古
70,1,0,0,2020/02/02,辽宁
31,1,0,17,2020/02/02,吉林
118,2,2,163,2020/02/02,黑龙江
193,10,1,173,2020/02/02,上海
271,7,0,0,2020/02/02,江苏
724,36,0,0,2020/02/02,浙江
408,7,0,0,2020/02/02,安徽
179,0,0,96,2020/02/02,福建
391,18,0,0,2020/02/02,江西
246,6,0,62,2020/02/02,山东
566,14,2,26,2020/02/02,河南
11177,295,350,0,2020/02/02,湖北
521,16,0,0,2020/02/02,湖南
683,14,0,0,2020/02/02,广东
127,2,0,0,2020/02/02,广西
70,4,1,0,2020/02/02,海南
300,7,2,0,2020/02/02,重庆
254,12,1,0,2020/02/02,四川
46,2,0,46,2020/02/02,贵州
109,3,0,252,2020/02/02,云南
1,0,0,0,2020/02/02,西藏
128,0,0,205,2020/02/02,陕西
51,3,0,0,2020/02/02,甘肃
13,0,0,0,2020/02/02,青海
31,0,0,12,2020/02/02,宁夏
24,0,0,0,2020/02/02,新疆
10,0,0,0,2020/02/02,台湾
15,0,0,0,2020/02/02,香港
8,0,0,0,2020/02/02,澳门
228,23,1,0,2020/02/03,北京
60,1,0,0,2020/02/03,天津
126,3,1,93,2020/02/03,河北
74,2,0,62,2020/02/03,山西
35,1,0,3,2020/02/03,内蒙古
74,1,0,0,2020/02/03,辽宁
42,1,0,24,2020/02/03,吉林
155,2,2,178,2020/02/03,黑龙江
208,10,1,168,2020/02/03,上海
308,8,0,0,2020/02/03,江苏
829,48,0,0,2020/02/03,浙江
480,14,0,0,2020/02/03,安徽
194,1,0,87,2020/02/03,福建
476,19,0,0,2020/02/03,江西
270,7,0,70,2020/02/03,山东
675,20,2,44,2020/02/03,河南
13522,396,414,0,2020/02/03,湖北
593,22,0,0,2020/02/03,湖南
797,20,0,180,2020/02/03,广东
139,7,0,0,2020/02/03,广西
79,4,1,0,2020/02/03,海南
337,9,2,0,2020/02/03,重庆
282,14,1,0,2020/02/03,四川
56,2,0,26,2020/02/03,贵州
117,5,0,225,2020/02/03,云南
1,0,0,0,2020/02/03,西藏
142,1,0,221,2020/02/03,陕西
55,3,0,9,2020/02/03,甘肃
15,0,0,0,2020/02/03,青海
34,0,0,18,2020/02/03,宁夏
29,0,0,0,2020/02/03,新疆
10,0,0,0,2020/02/03,台湾
15,0,0,0,2020/02/03,香港
8,0,0,0,2020/02/03,澳门
253,24,1,0,2020/02/04,北京
67,2,0,0,2020/02/04,天津
135,4,1,117,2020/02/04,河北
81,4,0,42,2020/02/04,山西
42,1,0,3,2020/02/04,内蒙古
81,2,0,0,2020/02/04,辽宁
54,1,0,58,2020/02/04,吉林
190,4,2,184,2020/02/04,黑龙江
233,12,1,194,2020/02/04,上海
341,13,0,0,2020/02/04,江苏
895,63,0,0,2020/02/04,浙江
530,20,0,0,2020/02/04,安徽
205,7,0,91,2020/02/04,福建
548,27,0,0,2020/02/04,江西
298,13,0,94,2020/02/04,山东
764,41,2,52,2020/02/04,河南
16678,520,479,0,2020/02/04,湖北
661,35,0,0,2020/02/04,湖南
870,32,0,136,2020/02/04,广东
150,10,0,0,2020/02/04,广西
89,4,1,0,2020/02/04,海南
366,14,2,0,2020/02/04,重庆
301,23,1,0,2020/02/04,四川
64,5,0,33,2020/02/04,贵州
122,5,0,172,2020/02/04,云南
1,0,0,0,2020/02/04,西藏
165,2,0,215,2020/02/04,陕西
57,4,0,17,2020/02/04,甘肃
17,0,0,0,2020/02/04,青海
34,0,0,24,2020/02/04,宁夏
32,0,0,0,2020/02/04,新疆
11,0,0,0,2020/02/04,台湾
18,0,1,0,2020/02/04,香港
10,0,0,0,2020/02/04,澳门
